id,created,title,slug,parent,status,migration_status,migration_note
67807,2024-11-04,"Cookie Policy",cookie-policy-1124,,publish,,
67815,2024-11-04,"Terms of Use",terms-of-use-1124,,publish,,
67803,2024-11-04,Impressum,impressum-1124,,publish,,
67258,2024-08-06,"Cookie Notice",cookie-notice,,publish,,
67254,2024-08-06,Impressum,impressum,,publish,,
67247,2024-08-06,"Website Entities",website-entities,,publish,,
66157,2024-06-07,"Home copy podcast",home-copy-podcast-feature,,publish,,
65371,2024-04-01,"IHIF 2024 â€“ Cumming Group Giveaway",ihif-2024-cumming-group-giveaway,,publish,,
63988,2024-02-08,"Test AS",test-as,,publish,,
63664,2024-01-24,"Home Copy | Footer Logo QC",home-3,,publish,,
63073,2023-12-08,Careers,careers-eu,,publish,,
63056,2023-12-08,"Apprenticeship Programme",apprenticeship-programme,63073,publish,,
62959,2023-12-08,Offices,offices,,publish,,
62925,2023-12-08,"Careers (Mobile)",careers-mobile,,publish,,
62923,2023-12-08,"Sectors (Mobile)",sectors-mobile,,publish,,
62921,2023-12-08,"Services (Mobile)",services-mobile,,publish,,
62899,2023-12-08,"About Us (Mobile)",about-us-m,,publish,,
57642,2023-11-15,Services,services-eu,,publish,,
57618,2023-11-14,Clients,clients-eu,57608,publish,,
57608,2023-11-14,"About Us",about-us-eu,,publish,,
57595,2023-11-14,"Environmental, Social and Corporate Governance",environmental-social-and-corporate-governance-eu,57608,publish,,
57564,2023-11-08,"Terms & Conditions 1123",terms-conditions-1123,,publish,,
56880,2023-09-20,Events,events-promotions,,publish,,
56955,2023-09-18,"Cumming Group: Hospitality Excellence in Texas",cumming-group-hospitality-excellence-in-texas,17769,publish,,
55451,2023-07-17,"New Contact",new-contact,,publish,,
54615,2023-06-05,"Pride Month 2023",pride-month-2023,,publish,,
54411,2023-05-17,Home,home-4,,publish,,
54211,2023-05-09,"News + Insights",news-insights,,publish,,
45057,2023-03-15,Test,test,,publish,,
47796,2022-08-12,"Internship Program",internship-program-2022,,publish,,
45085,2022-03-18,"Test Page",test-page,,publish,,
45013,2022-03-15,"FB #45013",fb-45013,,publish,,
43330,2021-12-17,"DM Ticket",dm-ticket,,publish,,
42309,2021-10-25,"Redirect PDF Form",redirect-pdf-form,,publish,,
42197,2021-10-18,"Test GTM",test-gtm,,publish,,
40902,2021-07-20,"Internship Program",internship-program,,publish,,
40722,2021-07-06,"Expert Insights Blog",expert-insights-blog,34049,publish,,
38833,2021-01-29,Events,events-page,,publish,,
38672,2021-01-26,"Diversity, Equity, and Inclusion",diversity-equity-and-inclusion,62837,publish,,
38550,2021-01-07,"Chicago News",chicago-news,,publish,,
38546,2021-01-07,"Chicago White Papers",chicago-white-papers,34049,publish,,
37940,2020-11-18,"Slider Test Page",slider-test-page,,publish,,
36947,2020-09-03,"Presentations and Webinars",presentations-and-webinars,34049,publish,,
36471,2020-07-14,"Case Studies",case-studies,34049,publish,,
35245,2020-03-06,"Nor Cal Golf Tournament",nor-cal-golf-tournament,,publish,,
34315,2019-11-14,Stoke-on-Trent,stoke-on-trent,,publish,,
34048,2019-10-30,"The Construction Insiders Podcast",podcast,34049,publish,,
34068,2019-10-30,"White Papers",white-papers,34049,publish,,
34049,2019-10-29,Insights,insights,,publish,,
33700,2019-10-01,"Graduate Programme",graduate-programme,63073,publish,,
33596,2019-09-25,Affiliates,affiliates,62837,publish,,
31627,2019-01-21,Social,social,,publish,,
22226,2018-07-30,"Home Test",home-test,,publish,,
18832,2017-10-18,"Hiring Process",hiring-process,18333,publish,,
18731,2017-10-10,"Themed Entertainment Experience Around the World",themed-entertainment-experience-around-world-3,,publish,,
18411,2017-09-14,"Life at Cumming",life-at-cumming,18333,publish,,
18392,2017-09-14,"Benefits + Recognition",benefits-and-recognition,18333,publish,,
18333,2017-09-14,Careers,careers,,publish,,
18330,2017-09-12,"Privacy Policy",privacy-policy,,publish,,
17769,2017-07-27,Landing,landing,,publish,,
17730,2017-07-24,"Other News",other-news,15721,publish,,
16907,2017-06-14,"Social Responsibility",social-responsibility,62837,publish,,
16522,2017-04-28,"Cumming News",news-posts,15721,publish,,
16317,2017-03-31,Contact,contact,,publish,,
16200,2017-03-27,Projects,projects,,publish,,
15721,2017-03-22,News,news,,publish,,
15382,2017-03-08,"Press Releases",press-releases,15721,publish,,
15208,2017-03-02,Clients,clients,62837,publish,,
14910,2017-03-02,Team,team,62837,publish,,
15041,2017-03-02,Sectors,sectors,,publish,,
14996,2017-03-02,Services,services,,publish,,
62837,2017-03-01,"About Us",about-us,,publish,,
13802,2016-10-18,"File Transfer",file-transfer,,publish,,
98,2012-07-31,Portfolio,portfolio,,publish,,
