id,title,slug,locale,migration_status,migration_notes
,Building Consultancy,building-consultancy,eu,needs-content,
,Capital Allowances,capital-allowances,eu,needs-content,
,Cost + Commercial Management,cost-commercial-management,us,needs-content,current title is Cost Management & Estimating
,Cost Management,cost-management,eu,needs-content,
,Dispute Resolution + Avoidance,dispute-resolution-avoidance,us,needs-content,
,Energy + Sustainability Solutions,energy-sustainability-solutions,both,needs-content,
,Planning + Scheduling,planning-scheduling,us,needs-content,
,Program + Project Management,program-project-management,us,needs-content,
,Project Controls,project-controls,both,needs-content,
,Project Management,project-management,eu,needs-content,
,Project Monitoring,project-monitoring,both,needs-content,
,Scheduling,scheduling,eu,needs-content,
,Technical Due Diligence,technical-due-dilligence,eu,needs-content,