taxonomy,title,parent,slug,description
region,North America,,na,
region,Europe,,eu,
region,United Kingdom,,uk,
region,France,eu,france,
region,Germany,eu,germany,
region,Ireland,eu,ireland,
region,Italy,eu,italy,
region,Norway,eu,norway,
region,Switzerland,eu,switzerland,
region,Netherlands,eu,netherlands,
region,Florida,na,florida,
region,Hawaii,na,hawaii,
region,Mid-Atlantic,na,midatlantic,
region,Midwest,na,midwest,
region,North Central,na,northcentral,
region,Northeast,na,northeast,
region,Northern California,na,norcal,
region,Pacific Northwest,na,pacific-nw,
region,South Central,na,southcentral,
region,Southeast,na,southeast,
region,Southern California,na,socal,
region,Southwest,na,southwest,
region,England,uk,england,
region,Northern Ireland,uk,northern-ireland,
region,Scotland,uk,scotland,
region,Wales,uk,wales,
news-categories,Company Blog,,blog,
news-categories,News,,news,
news-categories,Press Releases,,press-releases,
news-categories,Podcast,,podcast,